INDEX,LINK,LINK_RTF
 T-723-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-723-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-723-12.rtf 
 T-722-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-722-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-722-12.rtf 
 T-721-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-721-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-721-12.rtf 
 T-720-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-720-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-720-12.rtf 
 T-719-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-719-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-719-12.rtf 
 T-717-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-717-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-717-12.rtf 
 T-716-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-716-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-716-12.rtf 
 T-708-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-708-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-708-12.rtf 
 T-707-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-707-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-707-12.rtf 
 T-706-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-706-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-706-12.rtf 
 T-705-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-705-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-705-12.rtf 
 T-704-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-704-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-704-12.rtf 
 T-703-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-703-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-703-12.rtf 
 T-702-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-702-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-702-12.rtf 
 T-701-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-701-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-701-12.rtf 
 T-700-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-700-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-700-12.rtf 
 T-699-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-699-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-699-12.rtf 
 T-698-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-698-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-698-12.rtf 
 T-697-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-697-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-697-12.rtf 
 T-696-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-696-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-696-12.rtf 
 T-695-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-695-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-695-12.rtf 
 T-694-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-694-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-694-12.rtf 
 T-693-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-693-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-693-12.rtf 
 T-692-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-692-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-692-12.rtf 
 T-691-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-691-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-691-12.rtf 
 T-690-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-690-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-690-12.rtf 
 T-689-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-689-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-689-12.rtf 
 T-688-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-688-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-688-12.rtf 
 T-687-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-687-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-687-12.rtf 
 T-686-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-686-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-686-12.rtf 
 T-685-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-685-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-685-12.rtf 
 T-684-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-684-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-684-12.rtf 
 T-683-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-683-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-683-12.rtf 
 T-682-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-682-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-682-12.rtf 
 T-681-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-681-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-681-12.rtf 
 T-680-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-680-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-680-12.rtf 
 T-679-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-679-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-679-12.rtf 
 T-678-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-678-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-678-12.rtf 
 T-677-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-677-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-677-12.rtf 
