INDEX,LINK,LINK_RTF
 T-898-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-898-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-898-99.rtf 
 T-889-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-889-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-889-99.rtf 
 T-888-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-888-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-888-99.rtf 
 T-887-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-887-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-887-99.rtf 
 T-886-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-886-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-886-99.rtf 
 T-885-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-885-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-885-99.rtf 
 T-884-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-884-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-884-99.rtf 
 T-883-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-883-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-883-99.rtf 
 T-882-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-882-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-882-99.rtf 
 T-881-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-881-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-881-99.rtf 
 T-880-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-880-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-880-99.rtf 
 T-879-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-879-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-879-99.rtf 
 T-878-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-878-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-878-99.rtf 
 T-877-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-877-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-877-99.rtf 
 T-876-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-876-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-876-99.rtf 
 T-875-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-875-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-875-99.rtf 
 T-874-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-874-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-874-99.rtf 
 T-873-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-873-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-873-99.rtf 
 T-872-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-872-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-872-99.rtf 
 T-871-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-871-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-871-99.rtf 
 T-865-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-865-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-865-99.rtf 
 T-864-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-864-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-864-99.rtf 
 T-863A-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-863A-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-863A-99.rtf 
 T-863-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-863-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-863-99.rtf 
 T-862-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-862-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-862-99.rtf 
 T-861-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-861-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-861-99.rtf 
 T-860-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-860-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-860-99.rtf 
 T-859-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-859-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-859-99.rtf 
 T-858-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-858-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-858-99.rtf 
 T-857-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-857-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-857-99.rtf 
 T-856-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-856-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-856-99.rtf 
 T-855-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-855-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-855-99.rtf 
 T-854-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-854-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-854-99.rtf 
 T-853-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-853-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-853-99.rtf 
 T-852-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-852-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-852-99.rtf 
 T-851-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-851-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-851-99.rtf 
 T-850-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-850-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-850-99.rtf 
 T-849-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-849-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-849-99.rtf 
 T-848-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-848-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-848-99.rtf 
 T-842-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-842-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-842-99.rtf 
 T-841-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-841-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-841-99.rtf 
 T-840-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-840-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-840-99.rtf 
 T-839-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-839-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-839-99.rtf 
 T-838-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-838-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-838-99.rtf 
 T-837-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-837-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-837-99.rtf 
 T-836-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-836-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-836-99.rtf 
 T-835-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-835-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-835-99.rtf 
 T-834-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-834-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-834-99.rtf 
 T-833-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-833-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-833-99.rtf 
 T-832-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-832-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-832-99.rtf 
 T-831-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-831-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-831-99.rtf 
 T-830-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-830-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-830-99.rtf 
 T-829-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-829-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-829-99.rtf 
 T-828-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-828-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-828-99.rtf 
 T-827-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-827-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-827-99.rtf 
 T-826-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-826-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-826-99.rtf 
